Description;ASSETNUM;LOCATION;facteur;valeur;pourcentage;action_recommandee;action_secondaire;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
fuite hydraulique;13150;BR430;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;4.5;oui;faible;hebdomadaire;7
panne pneumatique;13110;BR200;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;1;2.56;oui;bonne;annuelle;18
problème tension;13160;BR460;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;5;5.69;non;bonne;hebdomadaire;13
problème tension;13120;POLE300;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;4;7.85;non;moyenne;mensuelle;0
panne pneumatique;52300;OFF103;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;6.46;non;faible;mensuelle;5
problème tension;1002;BR400;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;2;1.37;non;faible;annuelle;10
panne pneumatique;1000;PACKAGE;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;4;1.84;oui;moyenne;trimestrielle;18
problème tension;7111;ECC210;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;5;0.52;oui;faible;annuelle;17
défaut logiciel;11210;MOFLOOR1;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;4;1.79;oui;moyenne;hebdomadaire;3
vibration excessive;13145;CENTRAL;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;semi-solide;2;1.67;non;moyenne;annuelle;5
surchauffe;13143;OFFICE;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;1;2.23;oui;bonne;hebdomadaire;19
surchauffe moteur;13170;MH100;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;4;5.62;non;bonne;mensuelle;18
surchauffe;12610;NEEDHAM;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;5;3.76;non;faible;mensuelle;18
fuite hydraulique;12710;COMPLAB;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;semi-solide;1;7.84;non;bonne;mensuelle;8
problème tension;23972;BLK2000;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;2;3.61;non;faible;annuelle;2
fuite hydraulique;13180;SAN101;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;2.02;oui;faible;mensuelle;11
turn western;ASSET12345;BR431;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;graisse;2;2.29;oui;bonne;trimestrielle;0
fuite hydraulique;ASSET1234;CONF200;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;6.24;non;bonne;trimestrielle;6
défaut logiciel;ASSET123;FINALPKG;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;3;2.89;oui;faible;annuelle;1
problème tension;ASSET12;MARKING;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;3;7.9;oui;bonne;mensuelle;1
fuite hydraulique;ASSET1;FIELDSTAFF;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;aucune;1;7.53;non;moyenne;hebdomadaire;17
problème tension;CAL101;COMP310;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;40.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;5;5.85;oui;moyenne;annuelle;9
surchauffe moteur;CAL102;MOFLOOR4;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;1;4.68;oui;faible;trimestrielle;4
défaut logiciel;CAL103;L41BI999;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;5;5.83;oui;moyenne;annuelle;0
surchauffe moteur;7112;L1BI999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;1;1.15;oui;moyenne;trimestrielle;3
surchauffe moteur;7113;L3BI999;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;4;5.68;oui;bonne;trimestrielle;19
usure mécanique;7114;L31BI999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;2;0.62;oui;moyenne;hebdomadaire;10
surchauffe;7115;L11BI999;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;2;7.48;oui;moyenne;annuelle;13
panne pneumatique;9000;L21BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;4.69;non;bonne;annuelle;11
problème tension;9001;L2BI999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;3;3.83;oui;moyenne;trimestrielle;19
panne pneumatique;9002;L8AZBM999;"""	Pression du système""";>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;4.66;oui;moyenne;hebdomadaire;10
surchauffe moteur;9010;A37DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;3;7.34;oui;bonne;trimestrielle;14
surchauffe;A43ABI999;A36DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;2;6.97;non;bonne;hebdomadaire;12
problème tension;A37A1BI999;A371DM999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;3;5.69;oui;faible;hebdomadaire;5
défaillance capteur;A41BI999;L430;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;aucune;2;2.98;oui;bonne;hebdomadaire;11
surchauffe moteur;A16BI999;L3100;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;4;5.52;non;faible;trimestrielle;5
usure mecanique;A20BI999;L200;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;2;1.94;non;moyenne;mensuelle;3
problème tension;A17ABI999;L300;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;1;3.56;oui;faible;trimestrielle;7
vibration excessive;A23ABI999;TUMBLE;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;graisse;1;3.31;oui;faible;hebdomadaire;1
défaut logiciel;A37ABI999;CLEAN;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;2;4.36;non;bonne;hebdomadaire;5
panne pneumatique;A23AqBI999;MECHASSY;Pression d'air - Fuites dans le circuit - Qualité de l'air;>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;2.81;non;faible;trimestrielle;19
fuite hydraulique;A15BI999;MOLD;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;5;5.67;non;bonne;mensuelle;15
panne pneumatique;A12BI999;6THFLOOR;Pression d'air - Fuites dans le circuit - Qualité de l'air;85 dB;60.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;1;4.0;non;moyenne;mensuelle;3
fuite hydraulique;L3AZBM999;A10211OC999;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;5.97;non;moyenne;annuelle;9
usure mécanique;L11BI999;L4AZVBC999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;4;7.91;non;moyenne;hebdomadaire;12
surchauffe moteur;L11BM999;L48BZVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;4;2.31;non;faible;mensuelle;19
fuite hydraulique;L1AZBM999;L45AZVBC999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;5.16;non;faible;hebdomadaire;7
problème tension;L2BI999;L41BZVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;2;4.08;non;moyenne;hebdomadaire;16
fuite hydraulique;L8AZBM999;L41AZVBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;5;2.82;non;bonne;annuelle;11
problème tension;L2BM999;L2B1VBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;4;2.49;oui;bonne;trimestrielle;19
surchauffe moteur;L31BM999;L3A1VBC999;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;5;3.09;non;bonne;trimestrielle;7
usure mecanique;L31BI999;L6B1VBC999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;1;2.19;non;faible;trimestrielle;19
fuite hydraulique;L5AZBM999;L8B1VBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;3.99;oui;moyenne;hebdomadaire;17
problème tension;L1DZBM999;L7BVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;2;5.25;oui;moyenne;hebdomadaire;5
usure mécanique;1001;L5A3DM999;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;1;5.14;non;bonne;trimestrielle;7
surchauffe;12600;L9B2DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;2;1.48;non;faible;annuelle;15
fuite hydraulique;11450;1L3B1SZ999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;3;3.38;non;bonne;trimestrielle;4
défaut logiciel;11230;A105OC999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;3;6.44;non;bonne;trimestrielle;8
panne pneumatique;12300;A1021OC999;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;3;6.54;non;faible;annuelle;5
fuite hydraulique;11430;A11211OC999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;7.37;oui;moyenne;mensuelle;1
défaut logiciel;13141;A1121OC999;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;5;3.06;oui;moyenne;trimestrielle;14
fuite hydraulique;12700;A11OC999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;2;5.62;oui;bonne;trimestrielle;11
fuite hydraulique;11470;L3ASZ999;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;5;4.28;non;faible;annuelle;6
fuite hydraulique;13140;L8BSZ999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;5;0.69;non;bonne;trimestrielle;17
problème tension;11200;L7BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;3;7.2;non;moyenne;trimestrielle;2
défaut logiciel;11300;L2BSZ999;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;4;4.01;oui;bonne;hebdomadaire;5
usure mecanique;11460;L18BSZ999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;2;2.04;non;moyenne;hebdomadaire;17
défaillance capteur;12210;L7B1SZ999;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;semi-solide;1;6.54;oui;faible;mensuelle;15
problème tension;12100;L3BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;2;7.56;non;moyenne;annuelle;9
usure mécanique;13150;L7B1VBC999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;2;5.25;oui;moyenne;hebdomadaire;7
panne pneumatique;13110;L3B3DM999;"""	Pression du système""";>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;3;5.96;oui;bonne;mensuelle;2
surchauffe moteur;13160;A12DM999;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;1;3.11;non;moyenne;hebdomadaire;12
fuite hydraulique;13120;A35DM999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;2.13;oui;faible;annuelle;18
fuite hydraulique;52300;A201DM999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;4.42;non;bonne;hebdomadaire;14
défaillance capteur;1002;A111DM999;Température ambiante - Humidité - Âge du capteur;>45°C;100.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;huile;1;5.75;oui;faible;mensuelle;14
problème tension;1000;A121ADM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;3;2.41;oui;faible;annuelle;8
problème tension;7111;A131ADM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;5.6;oui;moyenne;trimestrielle;13
fuite hydraulique;11210;A13DM999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;7.26;oui;moyenne;mensuelle;11
défaut logiciel;13145;A14DM999;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;2;1.76;non;bonne;hebdomadaire;0
fuite hydraulique;13143;A141DM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;5.26;oui;faible;mensuelle;2
problème tension;13170;BR300;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;3;2.08;oui;faible;mensuelle;8
fuite hydraulique;12610;SHIPPING;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;5;6.53;oui;faible;annuelle;13
problème tension;12710;BR450;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;5;3.61;non;bonne;trimestrielle;7
problème tension;23972;BOILER;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;4;3.16;non;faible;trimestrielle;14
défaut logiciel;13180;BR230;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;2;5.7;non;moyenne;annuelle;17
usure mecanique;ASSET12345;BPM3100;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;5;5.14;non;moyenne;mensuelle;6
panne pneumatique;ASSET1234;REPAIR;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;5;1.14;non;faible;mensuelle;15
surchauffe;ASSET123;BR210;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;4;7.78;oui;bonne;mensuelle;17
problème tension;ASSET12;BR430;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;4;4.77;non;moyenne;hebdomadaire;2
problème tension;ASSET1;BR200;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;4;5.43;oui;bonne;annuelle;15
défaut logiciel;CAL101;BR460;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;5;7.51;oui;faible;annuelle;7
défaut logiciel;CAL102;POLE300;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;1;4.07;non;moyenne;hebdomadaire;18
problème tension;CAL103;OFF103;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;2;1.45;oui;faible;hebdomadaire;7
défaut logiciel;7112;BR400;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;5;7.83;non;moyenne;hebdomadaire;10
fuite hydraulique;7113;PACKAGE;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;2;5.93;non;moyenne;trimestrielle;3
problème tension;7114;ECC210;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;3;1.13;non;faible;hebdomadaire;17
turn western;7115;MOFLOOR1;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;semi-solide;5;5.53;oui;moyenne;mensuelle;0
panne pneumatique;9000;CENTRAL;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;5;2.18;oui;bonne;mensuelle;11
défaillance capteur;9001;OFFICE;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;huile;2;5.88;oui;bonne;hebdomadaire;20
fuite hydraulique;9002;MH100;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;2;7.68;non;moyenne;annuelle;3
fuite hydraulique;9010;NEEDHAM;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;2;3.33;oui;moyenne;mensuelle;6
fuite hydraulique;A43ABI999;COMPLAB;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;3.66;non;moyenne;hebdomadaire;9
usure mecanique;A37A1BI999;BLK2000;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;3;5.95;non;bonne;mensuelle;12
usure mecanique;A41BI999;SAN101;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;3;6.01;non;moyenne;mensuelle;7
surchauffe;A16BI999;BR431;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;aucune;2;6.05;non;bonne;mensuelle;0
panne pneumatique;A20BI999;CONF200;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;5;6.67;oui;moyenne;hebdomadaire;7
fuite hydraulique;A17ABI999;FINALPKG;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;5;3.84;oui;bonne;hebdomadaire;8
problème tension;A23ABI999;MARKING;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;4;2.72;non;bonne;trimestrielle;7
défaut logiciel;A37ABI999;FIELDSTAFF;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;2;3.98;non;moyenne;hebdomadaire;6
panne pneumatique;A23AqBI999;COMP310;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;6.54;non;moyenne;annuelle;20
surchauffe moteur;A15BI999;MOFLOOR4;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;2;3.71;non;moyenne;hebdomadaire;2
panne pneumatique;A12BI999;L41BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;1;1.78;non;faible;mensuelle;10
défaut logiciel;L3AZBM999;L1BI999;Version du firmware - CPU Usage - Erreurs mémoire;85 dB;66.66666666666666;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;3;4.34;non;bonne;mensuelle;6
vibration excessive;L11BI999;L3BI999;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;graisse;1;5.4;non;faible;annuelle;18
usure mécanique;L11BM999;L31BI999;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;1;6.37;non;moyenne;trimestrielle;18
surchauffe;L1AZBM999;L11BI999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;2;3.07;oui;bonne;mensuelle;18
problème tension;L2BI999;L21BI999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;5;2.4;non;faible;hebdomadaire;18
fuite hydraulique;L8AZBM999;L2BI999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;2;7.9;oui;faible;annuelle;6
panne pneumatique;L2BM999;L8AZBM999;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;1;2.13;non;bonne;hebdomadaire;12
surchauffe;L31BM999;A37DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;3;5.18;non;bonne;annuelle;18
